Country Name,2010,2011,2012,2013,2014
Fiji,1.419979069,1.25604496,1.213104227,1.30887617,1.320574708
France,5.428980862,5.077911491,5.075063887,5.062174035,4.573182147
Faroe Islands,12.99122554,11.6932398,12.13140591,13.91665128,12.23784857
"Micronesia, Fed. Sts.",1.097098904,1.169550006,1.310870216,1.379076585,1.445435754
Gabon,2.933224404,2.929968222,2.905518332,2.90571962,2.768265721
United Kingdom,7.857836486,7.079297626,7.355898277,7.145844359,6.49744049
Georgia,1.667568685,2.122236979,2.263802424,2.113793109,2.416460496
Ghana,0.406162808,0.391342522,0.4615626,0.554930149,0.536533378
Gibraltar,14.03202868,13.50220027,13.74184338,14.52448937,15.51348493
Guinea,0.2412015,0.251884294,0.22883261,0.199296674,0.207492621
"Gambia, The",0.255713888,0.25617469,0.252317681,0.232722215,0.267684889
Guinea-Bissau,0.153196262,0.153925624,0.154457589,0.152655821,0.157241167
Equatorial Guinea,4.919642857,6.162746281,4.925379817,4.764156915,4.733816529
Greece,7.540183868,7.189762915,7.247007359,6.33661459,6.180337268
Grenada,2.487241705,2.408022841,2.572577052,2.873797317,2.275498308
Greenland,11.66377295,12.44034101,10.00501672,9.803250536,8.989181988
Guatemala,0.797292859,0.791834915,0.784016181,0.87418049,1.150977994
Guam,,,,,
Guyana,2.303675813,2.379070885,2.648880414,2.554048974,2.632347952
High income,11.27029811,11.02956715,10.85743975,10.77435126,10.71269229
"Hong Kong SAR, China",5.791126534,6.193079501,6.073287646,6.269078968,6.393600526
Honduras,0.973269197,1.072227358,1.05625722,1.047014219,1.07522179
Heavily indebted poor countries (HIPC),0.221203409,0.232659952,0.240601121,0.254597359,0.26534215
Croatia,4.696195978,4.627629816,4.21645564,4.123953137,3.973804906
Haiti,0.212694146,0.218681438,0.224883835,0.23059851,0.270538586
Hungary,5.022311649,4.797900003,4.494128944,4.259659831,4.265574976
IBRD only,4.12173559,4.409296426,4.522700296,4.500928552,4.508560979
IDA & IBRD total,3.271260644,3.484817554,3.560119294,3.535432676,3.529660952
IDA total,0.523641434,0.536908204,0.529591478,0.534503758,0.525891424
IDA blend,0.907667614,0.939870757,0.937521858,0.930803298,0.880445467
Indonesia,1.767907879,2.456844744,2.559750233,1.945094474,1.819363319
IDA only,0.332242203,0.335718672,0.325675765,0.336241561,0.348440393
Isle of Man,,,,,
India,1.397008906,1.47668635,1.598098637,1.591437853,1.730000432
Not classified,,,,,
Ireland,8.783613934,7.77982216,7.738155591,7.538110297,7.313939808
"Iran, Islamic Rep.",7.684728662,7.802934624,8.001696245,8.003808763,8.283020787
Iraq,3.647128775,4.235645492,4.659523902,4.884622664,4.811839686
Iceland,6.168528586,5.896828979,5.613991818,5.866946294,6.059657407
Israel,9.035223254,8.901888279,9.547967764,8.321785471,7.863181348
Italy,6.83837457,6.702557614,6.205413858,5.732941879,5.270866786
Jamaica,2.590268386,2.777310635,2.626668783,2.837874022,2.59321537
Jordan,2.948961557,2.860523571,3.058367062,2.898831801,3.002514727
Japan,9.148316038,9.317426666,9.63862829,9.780815065,9.538706103
Kazakhstan,15.22798733,15.64629686,14.46941789,15.42931652,14.36316974
Kenya,0.294423102,0.316754325,0.286745421,0.297438082,0.310415314
